pr_number,repository,title,author,created_at,merged_at,closed_at,state,is_draft,days_open,has_copilot_review,month_year,reviewer_count,copilot_review_count,reviewers,merged_by,additions,deletions,changed_files,commit_count,comment_count,review_decision,labels,base_branch,head_branch,first_response_hours
101,acme-corp/web-app,Add user authentication flow,agarcia,2025-08-03T10:15:00Z,2025-08-10T14:30:00Z,2025-08-10T14:30:00Z,MERGED,False,7.18,False,2025-08,2,0,mchen; sdavis,sdavis,145,30,2,2,10,APPROVED,"feature, backend",main,feature/pr-101,51.18
102,acme-corp/web-app,Fix login redirect bug,tbrown,2025-08-05T09:00:00Z,2025-08-10T11:00:00Z,2025-08-10T11:00:00Z,MERGED,False,5.08,True,2025-08,3,1,mchen; agarcia; jsmith,mchen,34,18,1,4,11,APPROVED,"feature, backend",develop,feature/pr-102,31.87
103,acme-corp/api-service,Update rate limiting middleware,kwilson,2025-08-07T14:00:00Z,2025-08-15T16:00:00Z,2025-08-15T16:00:00Z,MERGED,False,8.08,False,2025-08,1,0,tbrown,tbrown,434,5,6,7,5,APPROVED,enhancement,main,feature/pr-103,20.37
104,acme-corp/api-service,Add caching layer for user profiles,agarcia,2025-08-12T08:30:00Z,2025-08-14T10:00:00Z,2025-08-14T10:00:00Z,MERGED,False,2.06,True,2025-08,2,1,mchen; rpatel,mchen,50,29,2,5,12,APPROVED,infra,main,feature/pr-104,1.34
105,acme-corp/web-app,Refactor dashboard components,agarcia,2025-08-15T11:00:00Z,2025-08-25T09:00:00Z,2025-08-25T09:00:00Z,MERGED,False,9.92,False,2025-08,2,0,rpatel; mchen,mchen,444,187,19,4,11,APPROVED,enhancement,main,feature/pr-105,5.47
106,acme-corp/mobile-app,Implement push notifications,agarcia,2025-08-18T13:00:00Z,2025-08-22T17:00:00Z,2025-08-22T17:00:00Z,MERGED,False,4.17,True,2025-08,4,2,jsmith; kwilson; mchen; rpatel,mchen,63,25,1,6,5,APPROVED,bugfix,release/v2,feature/pr-106,8.78
107,acme-corp/infra,Upgrade Kubernetes to 1.28,agarcia,2025-08-20T10:00:00Z,2025-08-28T15:00:00Z,2025-08-28T15:00:00Z,MERGED,False,8.21,False,2025-08,1,0,tbrown,tbrown,293,64,3,8,6,APPROVED,"feature, backend",main,feature/pr-107,19.8
201,acme-corp/web-app,Add dark mode support,rpatel,2025-09-02T09:00:00Z,2025-09-16T11:00:00Z,2025-09-16T11:00:00Z,MERGED,False,14.08,False,2025-09,2,0,agarcia; mchen,agarcia,440,18,11,7,4,APPROVED,docs,release/v2,feature/pr-201,5.23
202,acme-corp/web-app,Fix accessibility issues in nav,rpatel,2025-09-03T10:00:00Z,2025-09-07T14:00:00Z,2025-09-07T14:00:00Z,MERGED,False,4.17,True,2025-09,3,1,kwilson; jsmith; tbrown,jsmith,63,11,2,3,3,APPROVED,"feature, backend",main,feature/pr-202,29.95
203,acme-corp/api-service,Add GraphQL subscriptions,tbrown,2025-09-05T08:00:00Z,2025-09-19T16:00:00Z,2025-09-19T16:00:00Z,MERGED,False,14.33,False,2025-09,2,0,sdavis; rpatel,rpatel,132,19,5,8,1,APPROVED,bug,main,feature/pr-203,54.54
204,acme-corp/api-service,Optimize database queries,mchen,2025-09-08T11:00:00Z,2025-09-12T09:00:00Z,2025-09-12T09:00:00Z,MERGED,False,3.92,True,2025-09,2,1,agarcia; jsmith,jsmith,13,5,2,8,8,APPROVED,"feature, backend",main,feature/pr-204,9.84
205,acme-corp/mobile-app,Add biometric authentication,agarcia,2025-09-10T14:00:00Z,2025-09-24T10:00:00Z,2025-09-24T10:00:00Z,MERGED,False,13.83,False,2025-09,3,0,sdavis; tbrown; ljohnson,ljohnson,194,16,5,7,2,APPROVED,bugfix,main,feature/pr-205,32.94
206,acme-corp/mobile-app,Fix crash on image upload,mchen,2025-09-12T09:30:00Z,2025-09-15T11:00:00Z,2025-09-15T11:00:00Z,MERGED,False,3.06,True,2025-09,2,1,sdavis; kwilson,kwilson,69,40,1,3,5,APPROVED,"feature, backend",main,feature/pr-206,22.52
207,acme-corp/infra,Add Terraform modules for RDS,jsmith,2025-09-15T10:00:00Z,2025-09-28T14:00:00Z,2025-09-28T14:00:00Z,MERGED,False,13.17,False,2025-09,1,0,tbrown,tbrown,270,6,2,6,12,APPROVED,,main,feature/pr-207,22.49
208,acme-corp/web-app,Update user settings page,agarcia,2025-09-20T13:00:00Z,2025-09-25T09:00:00Z,2025-09-25T09:00:00Z,MERGED,False,4.83,True,2025-09,3,1,mchen; sdavis; rpatel,mchen,73,10,1,8,8,APPROVED,"feature, backend",main,feature/pr-208,8.07
301,acme-corp/web-app,Implement search functionality,tbrown,2025-10-01T09:00:00Z,2025-10-11T15:00:00Z,2025-10-11T15:00:00Z,MERGED,False,10.25,False,2025-10,2,0,kwilson; sdavis,kwilson,385,81,13,6,7,APPROVED,infra,main,feature/pr-301,64.82
302,acme-corp/web-app,Add autocomplete to search,kwilson,2025-10-03T10:00:00Z,2025-10-06T14:00:00Z,2025-10-06T14:00:00Z,MERGED,False,3.17,True,2025-10,3,1,ljohnson; mchen; rpatel,ljohnson,80,37,2,4,0,APPROVED,,main,feature/pr-302,2.62
303,acme-corp/api-service,Add webhook delivery system,agarcia,2025-10-05T08:00:00Z,2025-10-15T12:00:00Z,2025-10-15T12:00:00Z,MERGED,False,10.17,False,2025-10,2,0,mchen; ljohnson,mchen,283,62,5,8,3,APPROVED,docs,main,feature/pr-303,39.06
304,acme-corp/api-service,Fix webhook retry logic,sdavis,2025-10-08T11:00:00Z,2025-10-10T15:00:00Z,2025-10-10T15:00:00Z,MERGED,False,2.17,True,2025-10,2,1,kwilson; rpatel,rpatel,29,5,1,7,5,APPROVED,infra,release/v2,feature/pr-304,9.11
305,acme-corp/mobile-app,Add offline mode support,jsmith,2025-10-10T14:00:00Z,2025-10-22T10:00:00Z,2025-10-22T10:00:00Z,MERGED,False,11.83,False,2025-10,3,0,sdavis; agarcia; mchen,sdavis,226,88,2,4,3,APPROVED,infra,main,feature/pr-305,14.1
306,acme-corp/mobile-app,Fix sync conflict resolution,tbrown,2025-10-12T09:00:00Z,2025-10-15T11:00:00Z,2025-10-15T11:00:00Z,MERGED,False,3.08,True,2025-10,2,1,kwilson; ljohnson,ljohnson,36,4,2,2,0,APPROVED,"feature, backend",main,feature/pr-306,19.46
307,acme-corp/infra,Migrate to ARM-based instances,agarcia,2025-10-15T10:00:00Z,2025-10-25T14:00:00Z,2025-10-25T14:00:00Z,MERGED,False,10.17,False,2025-10,1,0,jsmith,jsmith,105,28,4,8,3,APPROVED,,main,feature/pr-307,62.32
308,acme-corp/web-app,Add analytics dashboard,tbrown,2025-10-20T08:00:00Z,2025-10-24T09:00:00Z,2025-10-24T09:00:00Z,MERGED,False,4.04,True,2025-10,4,2,mchen; rpatel; ljohnson; jsmith,ljohnson,59,33,1,4,4,APPROVED,,main,feature/pr-308,8.83
401,acme-corp/web-app,Implement SSO integration,jsmith,2025-11-03T10:00:00Z,2025-11-17T14:00:00Z,2025-11-17T14:00:00Z,MERGED,False,14.17,False,2025-11,3,0,sdavis; ljohnson; mchen,sdavis,319,124,9,3,0,APPROVED,bug,main,feature/pr-401,69.2
402,acme-corp/web-app,Add SAML configuration page,agarcia,2025-11-04T09:00:00Z,2025-11-06T15:00:00Z,2025-11-06T15:00:00Z,MERGED,False,2.25,True,2025-11,2,1,tbrown; mchen,tbrown,56,9,1,1,9,APPROVED,docs,main,feature/pr-402,2.23
403,acme-corp/api-service,Add audit logging,rpatel,2025-11-06T08:00:00Z,2025-11-20T11:00:00Z,2025-11-20T11:00:00Z,MERGED,False,14.12,False,2025-11,2,0,ljohnson; kwilson,kwilson,142,35,4,3,10,APPROVED,infra,main,feature/pr-403,46.65
404,acme-corp/api-service,Fix audit log pagination,agarcia,2025-11-08T11:00:00Z,2025-11-11T13:00:00Z,2025-11-11T13:00:00Z,MERGED,False,3.08,True,2025-11,3,1,mchen; rpatel; tbrown,tbrown,17,3,1,5,2,APPROVED,bug,main,feature/pr-404,27.63
405,acme-corp/mobile-app,Add in-app messaging,rpatel,2025-11-10T14:00:00Z,2025-11-24T16:00:00Z,2025-11-24T16:00:00Z,MERGED,False,14.08,False,2025-11,2,0,ljohnson; kwilson,kwilson,446,156,20,1,10,APPROVED,bugfix,release/v2,feature/pr-405,58.92
406,acme-corp/mobile-app,Fix message notification badge,agarcia,2025-11-12T09:00:00Z,2025-11-14T11:00:00Z,2025-11-14T11:00:00Z,MERGED,False,2.08,True,2025-11,2,1,kwilson; ljohnson,kwilson,18,10,1,5,4,APPROVED,"feature, frontend",main,feature/pr-406,12.27
407,acme-corp/infra,Add monitoring dashboards,ljohnson,2025-11-15T10:00:00Z,2025-11-28T14:00:00Z,2025-11-28T14:00:00Z,MERGED,False,13.17,False,2025-11,1,0,sdavis,sdavis,148,8,1,7,4,APPROVED,"feature, frontend",main,feature/pr-407,3.65
408,acme-corp/web-app,Optimize bundle size,ljohnson,2025-11-18T08:00:00Z,2025-11-20T14:00:00Z,2025-11-20T14:00:00Z,MERGED,False,2.25,True,2025-11,3,1,kwilson; jsmith; tbrown,tbrown,59,2,1,2,11,APPROVED,"feature, backend",main,feature/pr-408,19.57
501,acme-corp/web-app,Add role-based access control,rpatel,2025-12-01T10:00:00Z,2025-12-21T14:00:00Z,2025-12-21T14:00:00Z,MERGED,False,20.17,False,2025-12,3,0,sdavis; agarcia; kwilson,agarcia,85,4,3,6,12,APPROVED,,main,feature/pr-501,70.01
502,acme-corp/web-app,Fix RBAC permission checks,kwilson,2025-12-03T09:00:00Z,2025-12-08T11:00:00Z,2025-12-08T11:00:00Z,MERGED,False,5.08,True,2025-12,2,1,jsmith; ljohnson,jsmith,50,26,2,3,3,APPROVED,feature,develop,feature/pr-502,42.23
503,acme-corp/api-service,Add data export endpoints,jsmith,2025-12-05T08:00:00Z,2025-12-19T15:00:00Z,2025-12-19T15:00:00Z,MERGED,False,14.29,False,2025-12,2,0,kwilson; sdavis,sdavis,420,240,14,4,4,APPROVED,bug,develop,feature/pr-503,11.88
504,acme-corp/api-service,Fix CSV export encoding,jsmith,2025-12-08T11:00:00Z,2025-12-10T14:00:00Z,2025-12-10T14:00:00Z,MERGED,False,2.12,True,2025-12,3,1,agarcia; rpatel; kwilson,agarcia,63,24,2,4,3,APPROVED,enhancement,develop,feature/pr-504,0.97
505,acme-corp/mobile-app,Add multi-language support,rpatel,2025-12-10T14:00:00Z,2025-12-28T10:00:00Z,2025-12-28T10:00:00Z,MERGED,False,17.83,False,2025-12,2,0,ljohnson; mchen,mchen,199,84,9,7,10,APPROVED,"feature, backend",main,feature/pr-505,70.65
506,acme-corp/mobile-app,Fix RTL layout issues,jsmith,2025-12-12T09:00:00Z,2025-12-16T15:00:00Z,2025-12-16T15:00:00Z,MERGED,False,4.25,True,2025-12,2,1,mchen; ljohnson,mchen,79,18,1,2,9,APPROVED,"feature, frontend",develop,feature/pr-506,18.01
507,acme-corp/infra,Upgrade TLS certificates,agarcia,2025-12-15T10:00:00Z,2025-12-30T09:00:00Z,2025-12-30T09:00:00Z,MERGED,False,14.96,False,2025-12,1,0,rpatel,rpatel,150,7,6,7,0,APPROVED,"feature, backend",release/v2,feature/pr-507,37.67
508,acme-corp/web-app,Add pagination to user list,kwilson,2025-12-18T08:00:00Z,2026-01-03T10:00:00Z,2026-01-03T10:00:00Z,MERGED,False,16.08,False,2025-12,2,0,rpatel; tbrown,rpatel,360,86,11,2,11,APPROVED,"feature, backend",main,feature/pr-508,64.85
601,acme-corp/web-app,Add real-time notifications,tbrown,2026-01-05T10:00:00Z,2026-01-21T14:00:00Z,2026-01-21T14:00:00Z,MERGED,False,16.17,False,2026-01,2,0,ljohnson; rpatel,rpatel,303,34,4,7,10,APPROVED,feature,main,feature/pr-601,67.74
602,acme-corp/web-app,Fix notification preferences,ljohnson,2026-01-06T09:00:00Z,2026-01-09T11:00:00Z,2026-01-09T11:00:00Z,MERGED,False,3.08,True,2026-01,3,1,tbrown; sdavis; mchen,sdavis,41,8,2,6,7,APPROVED,enhancement,main,feature/pr-602,13.34
603,acme-corp/api-service,Add API versioning,sdavis,2026-01-08T08:00:00Z,2026-01-22T15:00:00Z,2026-01-22T15:00:00Z,MERGED,False,14.29,False,2026-01,2,0,agarcia; jsmith,agarcia,357,23,10,6,1,APPROVED,enhancement,release/v2,feature/pr-603,59.02
604,acme-corp/api-service,Fix v2 backwards compatibility,ljohnson,2026-01-10T11:00:00Z,2026-01-14T14:00:00Z,2026-01-14T14:00:00Z,MERGED,False,4.12,True,2026-01,2,1,kwilson; agarcia,kwilson,8,2,1,8,9,APPROVED,bug,develop,feature/pr-604,33.68
605,acme-corp/mobile-app,Implement deep linking,tbrown,2026-01-12T14:00:00Z,2026-01-26T10:00:00Z,2026-01-26T10:00:00Z,MERGED,False,13.83,False,2026-01,3,0,jsmith; sdavis; kwilson,kwilson,376,100,16,7,3,APPROVED,,main,feature/pr-605,11.05
606,acme-corp/mobile-app,Fix deep link URL parsing,tbrown,2026-01-13T09:00:00Z,2026-01-16T15:00:00Z,2026-01-16T15:00:00Z,MERGED,False,3.25,True,2026-01,2,1,kwilson; agarcia,agarcia,11,6,1,2,7,APPROVED,infra,release/v2,feature/pr-606,4.59
607,acme-corp/infra,Add disaster recovery config,rpatel,2026-01-15T10:00:00Z,2026-01-29T14:00:00Z,2026-01-29T14:00:00Z,MERGED,False,14.17,False,2026-01,1,0,agarcia,agarcia,333,186,14,8,2,APPROVED,infra,develop,feature/pr-607,53.67
608,acme-corp/web-app,Improve table component perf,ljohnson,2026-01-20T08:00:00Z,2026-01-24T09:00:00Z,2026-01-24T09:00:00Z,MERGED,False,4.04,True,2026-01,4,2,agarcia; kwilson; rpatel; tbrown,kwilson,40,16,1,5,3,APPROVED,"feature, frontend",main,feature/pr-608,10.9
609,acme-corp/api-service,Add health check endpoints,agarcia,2026-01-22T10:00:00Z,2026-01-28T16:00:00Z,2026-01-28T16:00:00Z,MERGED,False,6.25,True,2026-01,2,1,kwilson; jsmith,kwilson,54,24,1,4,1,APPROVED,"feature, frontend",main,feature/pr-609,25.18
